IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Numero_Aleatorio
MWH,Grant County,Moses Lake,WA,USA,47.20770806,-119.3201897,161
MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,53
OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,330
OME,Nome,Nome,AK,USA,64.51220222,-165.4452458,69
ORH,Worcester Regional,Worcester,MA,USA,42.26733944,-71.87570944,334
OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278,72
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497,25
OXR,Oxnard,Oxnard,CA,USA,34.20080083,-119.2072164,246
PAH,Barkley Regional,Paducah,KY,USA,37.06083333,-88.77375,84
PFN,Panama City-Bay County International,Panama City,FL,USA,30.21208333,-85.68280556,151
PHF,Newport News Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,245
PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556,221
PIB,Hattiesburg-Laurel Regional,Hattiesburg-Laurel,MS,USA,31.46714944,-89.33705778,51
PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076333,-82.68743944,33
PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.5958611,125
PIR,Pierre Regional,Pierre,SD,USA,44.38267694,-100.285965,190
PLN,Pellston Regional  of Emmet County,Pellston,MI,USA,45.5709275,-84.796715,45
PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444,215
PPG,Pago Pago International,Pago Pago,AS,USA,14.33102278,-170.7105258,70
PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292,108
PSE,Mercedita,Ponce,PR,USA,18.00830278,-66.56301194,91
PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781,20
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,95
PUB,Pueblo Memorial,Pueblo,CO,USA,38.28908722,-104.4965722,230
PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,306
RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708,45
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,8
RDM,Roberts ,Redmond,OR,USA,44.25406722,-121.1499633,173
RFD,Greater Rockford,Rockford,IL,USA,42.19536389,-89.09721111,137
RHI,Rhinelander-Oneida County,Rhinelander,WI,USA,45.63119306,-89.46745361,129
RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928,135
ROA,Roanoke Regional  Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833,321
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,29
ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556,107
RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722,195
SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61677778,-106.0881389,18
SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889,307
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,207
SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417,102
SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA,35.23705806,-120.6423931,126
SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608,162
SCE,University Park,,,USA,40.851206,-77.846302,86
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,337
SGU,St George Muni,St George,UT,USA,37.09058333,-113.5930556,244
SHD,Shenandoah Valley Regional,Staunton Harrisonburg,VA,USA,38.26384333,-78.89643806,85
